MomentumWindow,FinalPortfolioValue
2,56884.09
3,65584.05
4,66827.39
5,76495.69
6,77361.29
7,88806.29
8,77659.26
9,89099.9
10,82451.6
11,83349.25
12,83504.67
13,79993.58
14,87849.42
15,94271.9
16,101143.82
17,100050.97
18,95983.15
19,89915.16
20,94897.88
21,99092.94
22,102996.55
23,101530.32
24,107669.5
25,103173.66
26,102785.56
27,99475.18
28,102446.18
29,106193.22
30,100150.42
31,103304.74
32,106935.14
33,101951.5
34,101973.31
35,100450.18
36,99856.56
37,92229.74
38,96635.86
39,92020.11
40,91809.53
41,90610.95
42,87306.58
43,93000.2
44,94602.81
45,93199.82
46,91482.95
47,99327.78
48,96634.59
49,103030.71
50,99889.09
51,97318.99
52,100091.79
53,105087.45
54,103596.47
55,101353.13
56,115182.05
57,110680.21
58,119515.92
59,123919.35
60,120731.73
