Scenario,MomentumWindow,FinalPortfolioValue
real,2,65091.63
real,3,77278.47
real,4,73129.75
real,5,86324.75
real,6,83323.22
real,7,91232.9
real,8,83988.28
real,9,96686.18
real,10,91130.16
real,11,88720.0
real,12,87121.41
real,13,88743.53
real,14,95152.2
real,15,103126.77
real,16,110450.94
real,17,109483.03
real,18,103411.48
real,19,102341.35
real,20,100644.15
real,21,103283.26
real,22,102465.87
real,23,105279.71
real,24,105691.26
real,25,101700.09
real,26,104547.7
real,27,101679.97
real,28,110771.81
real,29,107971.29
real,30,106315.69
real,31,104485.96
real,32,109629.12
real,33,108677.14
real,34,107527.91
real,35,104996.95
real,36,105043.78
real,37,96478.06
real,38,105711.25
real,39,101877.03
real,40,102259.66
real,41,98501.69
real,42,98074.16
real,43,103232.86
real,44,105236.76
real,45,105184.92
real,46,101893.94
real,47,107376.38
real,48,104250.59
real,49,107019.46
real,50,105188.88
real,51,101866.48
real,52,102088.44
real,53,106486.66
real,54,105269.81
real,55,106856.43
real,56,115592.39
real,57,117429.32
real,58,122670.71
real,59,125804.61
real,60,118434.06
real,61,121446.56
real,62,115311.6
real,63,116004.45
real,64,119804.13
real,65,120086.92
real,66,116582.86
real,67,114792.66
real,68,114684.75
real,69,110095.11
real,70,110541.79
real,71,114403.07
real,72,113910.63
real,73,113828.72
real,74,110221.35
real,75,109199.88
real,76,104107.83
real,77,99927.88
real,78,105250.5
real,79,99943.96
real,80,102670.27
real,81,102281.43
real,82,99999.95
real,83,101674.12
real,84,99217.74
real,85,102043.2
real,86,104931.03
real,87,102900.82
real,88,107799.28
real,89,107246.92
real,90,110612.04
real,91,109470.24
real,92,112545.2
real,93,112972.13
real,94,112633.67
real,95,105892.95
real,96,106389.96
real,97,104390.24
real,98,99514.63
real,99,107668.6
real,100,108780.15
volatile,2,43959.31
volatile,3,44508.96
volatile,4,42810.98
volatile,5,69399.47
volatile,6,73172.15
volatile,7,97694.81
volatile,8,103782.63
volatile,9,71374.28
volatile,10,105916.92
volatile,11,65304.22
volatile,12,54356.68
volatile,13,74262.3
volatile,14,53346.79
volatile,15,92396.28
volatile,16,122908.25
volatile,17,53374.5
volatile,18,80172.06
volatile,19,67940.3
volatile,20,52667.7
volatile,21,61252.81
volatile,22,50537.94
volatile,23,60697.37
volatile,24,73314.07
volatile,25,66396.8
volatile,26,44772.41
volatile,27,43442.72
volatile,28,54976.8
volatile,29,69912.33
volatile,30,81159.48
volatile,31,69278.86
volatile,32,76770.31
volatile,33,88506.91
volatile,34,68671.87
volatile,35,63499.07
volatile,36,89691.17
volatile,37,101319.76
volatile,38,107247.34
volatile,39,72368.41
volatile,40,124221.12
volatile,41,114077.55
volatile,42,128500.44
volatile,43,106841.11
volatile,44,116681.02
volatile,45,122224.05
volatile,46,116012.66
volatile,47,140701.03
volatile,48,120369.39
volatile,49,103530.42
volatile,50,113841.44
volatile,51,172608.96
volatile,52,149680.18
volatile,53,115065.4
volatile,54,112031.03
volatile,55,107103.02
volatile,56,108824.68
volatile,57,89936.92
volatile,58,129950.17
volatile,59,150763.85
volatile,60,144854.35
volatile,61,139748.94
volatile,62,136791.68
volatile,63,134911.66
volatile,64,149301.08
volatile,65,152772.92
volatile,66,149504.48
volatile,67,134527.27
volatile,68,131575.44
volatile,69,115610.91
volatile,70,122703.41
volatile,71,125443.66
volatile,72,134256.48
volatile,73,140197.07
volatile,74,137648.29
volatile,75,137130.04
volatile,76,127762.67
volatile,77,107572.5
volatile,78,114916.92
volatile,79,109509.22
volatile,80,105829.5
volatile,81,101370.58
volatile,82,106446.91
volatile,83,105489.73
volatile,84,87344.5
volatile,85,74647.22
volatile,86,90133.56
volatile,87,95815.93
volatile,88,87249.63
volatile,89,102986.35
volatile,90,113003.07
volatile,91,105549.53
volatile,92,97148.05
volatile,93,109991.69
volatile,94,96075.07
volatile,95,97456.93
volatile,96,95026.53
volatile,97,109086.04
volatile,98,108158.45
volatile,99,96845.3
volatile,100,109670.01
trending,2,63048.24
trending,3,60589.32
trending,4,65577.17
trending,5,74437.32
trending,6,73788.0
trending,7,89630.25
trending,8,79202.22
trending,9,84211.87
trending,10,82139.09
trending,11,87729.11
trending,12,85742.22
trending,13,93706.69
trending,14,91263.88
trending,15,88846.1
trending,16,87761.19
trending,17,99482.05
trending,18,100099.86
trending,19,92822.49
trending,20,94372.27
trending,21,97233.12
trending,22,94086.4
trending,23,95091.66
trending,24,98706.79
trending,25,93288.08
trending,26,99196.13
trending,27,97542.49
trending,28,92467.85
trending,29,98766.2
trending,30,94496.29
trending,31,90131.2
trending,32,98193.72
trending,33,92122.16
trending,34,95691.33
trending,35,96402.32
trending,36,96839.46
trending,37,97639.31
trending,38,102226.72
trending,39,102137.34
trending,40,97091.63
trending,41,100040.68
trending,42,92486.25
trending,43,95989.67
trending,44,95474.93
trending,45,90575.87
trending,46,92080.26
trending,47,97298.94
trending,48,90950.68
trending,49,86592.73
trending,50,86808.89
trending,51,93694.93
trending,52,95905.79
trending,53,98042.31
trending,54,96561.05
trending,55,102135.44
trending,56,96524.45
trending,57,97550.96
trending,58,97499.78
trending,59,100476.5
trending,60,100464.8
trending,61,95476.37
trending,62,98611.04
trending,63,98495.37
trending,64,98265.86
trending,65,96936.44
trending,66,95451.24
trending,67,93110.15
trending,68,95843.12
trending,69,96487.09
trending,70,93631.11
trending,71,91461.47
trending,72,92262.52
trending,73,93903.35
trending,74,94781.78
trending,75,93889.09
trending,76,93206.14
trending,77,92747.25
trending,78,91364.71
trending,79,91739.94
trending,80,94798.63
trending,81,90748.41
trending,82,94067.04
trending,83,93495.99
trending,84,87949.77
trending,85,92316.3
trending,86,92818.24
trending,87,89896.04
trending,88,92684.59
trending,89,88907.6
trending,90,88890.9
trending,91,88596.7
trending,92,83111.66
trending,93,90201.88
trending,94,83927.76
trending,95,89404.75
trending,96,89451.89
trending,97,83658.93
trending,98,83884.78
trending,99,86409.14
trending,100,84065.95
flat,2,48296.1
flat,3,54719.04
flat,4,58758.14
flat,5,57203.89
flat,6,62463.86
flat,7,65191.73
flat,8,67299.5
flat,9,66099.49
flat,10,67480.03
flat,11,72961.12
flat,12,75212.62
flat,13,73113.95
flat,14,75459.7
flat,15,76126.75
flat,16,75773.62
flat,17,78139.86
flat,18,77809.29
flat,19,80739.75
flat,20,80403.85
flat,21,80829.31
flat,22,79951.66
flat,23,81370.83
flat,24,80686.84
flat,25,81353.21
flat,26,78906.48
flat,27,81261.12
flat,28,81868.94
flat,29,79168.86
flat,30,80272.2
flat,31,82376.39
flat,32,80034.39
flat,33,82044.77
flat,34,81366.85
flat,35,82427.73
flat,36,86301.93
flat,37,87821.77
flat,38,90109.75
flat,39,88617.71
flat,40,88553.89
flat,41,91179.9
flat,42,89932.87
flat,43,88698.01
flat,44,88207.45
flat,45,86713.6
flat,46,89721.14
flat,47,90456.45
flat,48,88421.36
flat,49,86867.1
flat,50,91426.24
flat,51,90461.07
flat,52,87281.45
flat,53,90332.45
flat,54,89445.13
flat,55,89605.16
flat,56,89617.05
flat,57,88760.17
flat,58,92048.03
flat,59,92819.93
flat,60,90905.79
flat,61,91015.88
flat,62,90959.68
