Scenario,RebalanceBand,FinalPortfolioValue
real,0.0,82121.31
real,0.05,82665.3
real,0.1,82446.06
real,0.15,82446.06
real,0.2,83196.02
real,0.25,91130.16
real,0.3,91130.16
real,0.35,89108.18
real,0.4,117200.31
real,0.45,92882.68
real,0.5,92882.68
real,0.55,92061.55
real,0.6,92061.55
real,0.65,92061.55
real,0.7,92061.55
real,0.75,92061.55
real,0.8,87618.63
real,0.85,100000.0
real,0.9,100000.0
real,0.95,100000.0
volatile,0.0,68925.72
volatile,0.05,71066.09
volatile,0.1,71211.53
volatile,0.15,72024.63
volatile,0.2,67266.57
volatile,0.25,105409.25
volatile,0.3,105916.92
volatile,0.35,121836.64
volatile,0.4,119686.21
volatile,0.45,133268.95
volatile,0.5,102546.33
volatile,0.55,102546.33
volatile,0.6,102546.33
volatile,0.65,102546.33
volatile,0.7,102546.33
volatile,0.75,102546.33
volatile,0.8,94047.84
volatile,0.85,100000.0
volatile,0.9,100000.0
volatile,0.95,100000.0
trending,0.0,80495.42
trending,0.05,80823.63
trending,0.1,80823.63
trending,0.15,80823.63
trending,0.2,83695.53
trending,0.25,82139.09
trending,0.3,82139.09
trending,0.35,82139.09
trending,0.4,111713.1
trending,0.45,86454.51
trending,0.5,86454.51
trending,0.55,86454.51
trending,0.6,86454.51
trending,0.65,86454.51
trending,0.7,86454.51
trending,0.75,86454.51
trending,0.8,97620.4
trending,0.85,100000.0
trending,0.9,100000.0
trending,0.95,100000.0
flat,0.0,61605.98
flat,0.05,61724.76
flat,0.1,61724.76
flat,0.15,61724.76
flat,0.2,64176.47
flat,0.25,67480.03
flat,0.3,67480.03
flat,0.35,67480.03
flat,0.4,94391.38
flat,0.45,82699.11
flat,0.5,82699.11
flat,0.55,82699.11
flat,0.6,85946.25
flat,0.65,85946.25
flat,0.7,85946.25
flat,0.75,85946.25
flat,0.8,95109.77
flat,0.85,100000.0
flat,0.9,100000.0
flat,0.95,100000.0
crash_recovery,0.0,55815.31
crash_recovery,0.05,56113.05
crash_recovery,0.1,56128.33
crash_recovery,0.15,56128.33
crash_recovery,0.2,57812.52
crash_recovery,0.25,57648.01
crash_recovery,0.3,57028.65
crash_recovery,0.35,57028.65
crash_recovery,0.4,74744.88
crash_recovery,0.45,59056.73
crash_recovery,0.5,59056.73
crash_recovery,0.55,59056.73
crash_recovery,0.6,59056.73
crash_recovery,0.65,66148.79
crash_recovery,0.7,66148.79
crash_recovery,0.75,66148.79
crash_recovery,0.8,60968.87
crash_recovery,0.85,100000.0
crash_recovery,0.9,100000.0
crash_recovery,0.95,100000.0
